5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667,18.66666667
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667,60.66666667
